English,Hindi
Push-pull currents,कर्षापकर्ष धाराएँ
Pushing,अपकर्षण
Pushover,नियोजित नमन
Pushpull circuit,कर्षापकर्ष परिपथ
Pwer transmission line,शक्ति संचरण लाइन
Pycnometry,पिक्नोमिति
Pyranometer,पाइरैनोमीटर
Pyrheliometer,सूर्य-विकिरण मापी
Pyroconductivity,"तापचालकता, पाइरोचालकता"
Pyroelectric bodies,ताप-विद्युत् पिंड
Pyroelectric crystal,ताप-विद्युत् क्रिस्टल
Pyroelectric effect,ताप-विद्युत् प्रभाव
Pyroelectric phase,ताप विद्युत् प्रावस्था
Pyroelectric region,ताप-विद्युत् प्रदेश
Pyroelectric sphere,ताप-विद्युत् गोला
Pyroelectric vector,ताप-विद्युत् सदिश
Pyroelectricity,तापविद्युत्
Pyrometer,उत्तापमापी
Pyrometric cone equivalent,उत्ताप मीपी शंकु तुल्यांक
Pyrometry,उत्तापमिति
Pyron,पाइरोन
Pyrosphere,उत्तापमंडल
Pyrotechnics,"आतिशबाजी, अग्निक्रीड़ा"
Pythagorean scale,पाइथैगोरसी मापक्रम
Q band,Q-बैंड
Q value,Q मान
Q-aerial,क्यू-ऐन्टेना
Q-branch,"क्यू-शाखा, शून्य शाखा"
Q-factor,"क्यू-लक्षणांक, क्यू गुणांक"
Q-machine plasma,Q-मशीन प्लैज्मा
Q-switched laser,Q-स्विचित लेसर
QCD (=quantum chromodynamics),प्रमात्रा वर्णगतिकी
Quad,वर्ग कोष्ठिका
Quadrant,"चतुर्थान्स, वृत्त पाद"
Quadrant angle(=quadrangle),चतुष्कोण
Quadrant electrometer,"वृत्तपादविद्युत्मापी, क्वाड्रैन्ट इलेक्ट्रोमीटर"
Quadrantal component,वृत्तपादीय घटक
Quadrantal error,वृत्तपादीय त्रुटि
Quadrantal pendulum,वृत्तपादीय लोलक
Quadratic crystal,द्विसमलंबाक्ष क्रिस्टल
Quadratic effect,द्विघात प्रभाव
Quadratic field,द्विघात क्षेत्र
Quadratic programming,द्विघाती क्रमादेशन
Quadratic Strak effect,द्विघात स्टार्क प्रभाव
Quadratic term,द्विघाती पद
Quadratic Zeeman effect,द्विघाती ज़ेमान प्रभाव
Quadrature component,समकोणिक घटक
Quadripoise (=quadripole),चतुर्ध्रुवी
Quadripole radiation,चतुर्ध्रुवी विकिरण
Quadruplet,चतुष्क
Quadruplex circuit,चारस्तरी परिपथ
Quadrupole,चतुर्ध्रुवी
Quadrupole band,चतुर्ध्रुवी बैंड
Quadrupole lens,चतुर्ध्रुवी लेन्स
Quadrupole moment,चतुर्ध्रुवी-आघूर्ण
Quadrupole radiation,चतुर्ध्रुवी विकिरण
Quadrupole strength,चतुर्ध्रुव सामर्थ्य
Qualified component,योग्य घटक
Qualilty specification,गुणता विनिर्देश
Quality characteristic,गुणता-अभिलक्षण
Quality control,गुणता नियन्त्रण
Quality factor,गुणता कारक
Quality standard,गुणता मानक
Quality variation,गुणता विचरंण
Quallity of sound,ध्वनि का स्वरूप
Quanta,क्वान्टम
Quantal,क्वान्टमी
Quantied spin wave (=magnon),क्वांटित प्रचक्रण तरंग
Quantisation,"क्वान्टमीकरण, क्वान्टमन, राशिकरण, प्रमात्रीकरण"
Quantisation of charge,आवेश का प्रमात्रीकरण
Quantisation of electromagnetic field,विद्युत्-चुंबकीय क्षेत्र का क्वान्टमीकरण
Quantised orbit,क्वान्टित कक्षा
Quantised state,क्वान्टित अवस्था
Quantitative,"मात्रात्मक, परिमाणात्मक"
Quantitative character,मात्रात्मक लक्षण
Quantitative computation,मात्रात्मक अभिकलन
Quantitative radar obseration,मात्रात्मक रैडार प्रेक्षण
Quantity,"मात्रा, परिमाण, राशि"
Quantity discount,मात्रा मितीकाटा
Quantity elasticities,मात्रा लोच
Quantized molecule,क्वान्टित अणु
Quantized rotation,क्वान्टित घूर्णन
Quantizing error,क्वान्टीकरण त्रुटि
Quantometer,क्वान्टिमापी
Quantum,क्वान्टम
